Post Link,Title,DateTime,Reactions,Shares,Desc,Images,Links,Video,All Text,Visible Comments,PostID,Reactions URL
https://www.facebook.comhttps://www.facebook.com/photo.php?fbid=1152308228150402&set=a.113763798671522.6242.100001137061811&type=3,We too are Ghanaians............. Let us do sm kalypo challenge at work for fun...... 😄😄😄😄😄 #kalypochallenge,"Tuesday, October 11, 2016 at 11:18am",,,,https://fb-s-c-a.akamaihd.net/h-ak-xft1/v/t1.0-0/p480x480/14633072_1152308228150402_7162513505227561024_n.jpg?oh=3b48ee55f52fd797b03fc323d9355794&oe=58BFB5C3&__gda__=1492740998_7a6793b9b23a95269a0bee2c7cf7f900,,,Maame Abena Gyapong enjoying the day.October 11 · We too are Ghanaians............. Let us do sm kalypo challenge at work for fun...... 😄😄😄😄😄 #kalypochallenge,6 Comments16117 17LikeLikeLoveHahaWowSadAngryCommentShare,1152308258150399,
https://www.facebook.com/ameyawofficial/photos/a.10150434052698689.411191.128955543688/10154673899523689/?type=3,This one is a cheat #kalypochallenge ☠,"Friday, October 7, 2016 at 6:31pm",,,,https://fb-s-a-a.akamaihd.net/h-ak-xpa1/v/t1.0-0/p480x480/14581368_10154673899523689_7039384516014442089_n.jpg?oh=2417aa5445cef71025cb35163d34926b&oe=58F83DEA&__gda__=1489307336_5301c30fcfc2301eb8121e123a77034f,,,Like PageAmeyaw DebrahOctober 7 · This one is a cheat #kalypochallenge ☠,39 Comments33 Shares3611082472 472LikeLikeLoveHahaWowSadAngryCommentShare,10154673899523689,
https://www.facebook.comhttps://www.facebook.com/photo.php?fbid=10206619385276734&set=a.2707250373879.100962.1635396330&type=3,#Kalypochallenge# patronise made in Ghana product and avoid that thing in a flask.....,"Friday, October 7, 2016 at 11:12am",,,,https://fb-s-b-a.akamaihd.net/h-ak-xlp1/v/t1.0-0/p296x100/14611040_10206619385276734_2082935798129236613_n.jpg?oh=2f0225e6ca143365496b7c181a0bd113&oe=58FAE6FD&__gda__=1488073458_1c85cf4da1b796c115991346a9423b6d,,,"Habib Bashir with Jalal Seidu and 5 others in Accra, Ghana.October 7 · #Kalypochallenge# patronise made in Ghana product and avoid that thing in a flask.....",5 Comments1 Share853290 90LikeLikeLoveHahaWowSadAngryShare,10206619385556741,
https://www.facebook.com/ghonenews/photos/a.1578481365793147.1073741828.1566292267012057/1579998778974739/?type=3,"#kalypochallenge or #coconutchallenge Which do you prefer? One wonders why CPP has started a coconut challenge when PNC still exists. Shouldn't CPP start, eat a local cockerel challenge?... #LikeCommentShare See More","Friday, October 7, 2016 at 4:22pm",,,,https://scontent.xx.fbcdn.net/v/l/t1.0-0/p480x480/14568062_1579998778974739_1137528924829959261_n.jpg?oh=76e0f9c35f93bf01dc8c0352e5c2738b&oe=58C5B72A,,,"Like PageGHOne NewsOctober 7 · #kalypochallenge or #coconutchallenge Which do you prefer? One wonders why CPP has started a coconut challenge when PNC still exists. Shouldn't CPP start, eat a local cockerel challenge?... #LikeCommentShare See More",1 Comment1 Share1111 11LikeLikeLoveHahaWowSadAngryCommentShare,1579998778974739,
https://www.facebook.comhttps://www.facebook.com/photo.php?fbid=1372258986132413&set=a.375030899188565.94075.100000449751868&type=3,The #kalypochallenge 😂😂😂😂,"Saturday, October 8, 2016 at 10:03pm",,,,https://fb-s-d-a.akamaihd.net/h-ak-xpt1/v/t1.0-0/p480x480/14517631_1372258986132413_4420457730206601609_n.jpg?oh=f2a4d053e240ffc7eb5500ab70146c31&oe=58F82652&__gda__=1492503897_92adad6d4e2d465bcff67722ca4e8ea9,,,Iammeldrix LawsonOctober 8 · The #kalypochallenge 😂😂😂😂,11 Comments1 Share197224224 224LikeLikeLoveHahaWowSadAngryCommentShare,1372259022799076,
https://www.facebook.com/bridget.boateng.9/posts/1189965851063168?match=I2thbHlwb2NoYWxsZW5nZSxrYWx5cG9jaGFsbGVuZ2U%3D,Man bathing with kalypo like seriously lol,"Monday, October 10, 2016 at 5:08pm",,,Majid Michel MMLike PageOctober 10 · So funny... This Man Batching With Kalypo Is All You Need As Motivation This WeekVideo: #KalypoChallenge Gets crazier as man bathes with Kalypo juice - Golanzo.com​It would seem the #KalypoChallenge is not slowing down anytime soon as more and more people join in with their creative and crazy ideas. The social media…golanzo.com,"https://fb-s-a-a.akamaihd.net/h-ak-xtp1/v/t1.0-1/p32x32/14446184_962643720547738_5606256183422271633_n.jpg?oh=1ef472be01d4bbb52738a016e6ab4442&oe=58FA6205&__gda__=1489279428_27b20affcf469291f95fdb1c4b9bacef

https://fbexternal-a.akamaihd.net/safe_image.php?d=AQDIKUv4qXSpGbkJ&w=470&h=246&url=http%3A%2F%2Fgolanzo.com%2Fwp-content%2Fuploads%2F2016%2F10%2F7374217401465_7707892553311.jpg&cfs=1&upscale=1&sx=0&sy=103&sw=640&sh=335&hash=AQCteQLZvc_bChEz",http://l.facebook.com/l.php?u=http%3A%2F%2Fgolanzo.com%2Fvideo-kalypochallenge-gets-crazier-as-man-bathes-with-kalypo-juice%2F%23.V_uIQj-Vi4A.facebook&h=yAQGUhhd8&enc=AZPGdEpp6FaqFi9gF__kkRiUFW7nqekrQasn1oN8db7E-tTsBVA_ip49kdCyas9d2m7RKDthWrLOoly7ht39Jart6Dg9BHHkKvCTBn7LVlJjN4pB9fqWSs83e0iLM4tiQeE4Wmp4UKYjP-HYWSuvPZL-Q_mZOFTZSUT6o2CfuCmtX1ERNUWGqUBakEE_PjuQuCUWx1T4r74P-jfS48bNIrvb&s=1,,Bridget Boateng shared Majid Michel MM's post.October 10 · Man bathing with kalypo like seriously lolMajid Michel MMLike PageOctober 10 · So funny... This Man Batching With Kalypo Is All You Need As Motivation This WeekVideo: #KalypoChallenge Gets crazier as man bathes with Kalypo juice - Golanzo.com​It would seem the #KalypoChallenge is not slowing down anytime soon as more and more people join in with their creative and crazy ideas. The social media…golanzo.com,22 2LikeLikeLoveHahaWowSadAngryCommentShare,1189965851063168,
https://www.facebook.com/ameyawofficial/photos/a.10150434052698689.411191.128955543688/10154674101803689/?type=3,Okay this guy deserves to be crowned the ultimate winner of #kalypochallenge 👏👏,"Friday, October 7, 2016 at 8:04pm",,,,https://fb-s-a-a.akamaihd.net/h-ak-xtp1/v/t1.0-0/p480x480/14479572_10154674101803689_8650111501166023924_n.jpg?oh=46e4034190327bf733bb4a53eca42a30&oe=58B7ECA3&__gda__=1487907016_2b15dd4320c74e940c1bd52d1d78fed7,,,Like PageAmeyaw DebrahOctober 7 · Okay this guy deserves to be crowned the ultimate winner of #kalypochallenge 👏👏,88 Comments157 Shares94018281.1K Charles Dangerforld Tandoh and 1.1K othersLikeLikeLoveHahaWowSadAngryCommentShare,10154674101803689,
https://www.facebook.com/shadrack.agyapong1/posts/1073485749425606?match=I2thbHlwb2NoYWxsZW5nZSxrYWx5cG9jaGFsbGVuZ2U%3D,ei Ghana nso de3,"Monday, October 10, 2016 at 2:29pm",,,+3OMGVoice added 6 new photos.Like PageOctober 10 · This #KalypoChallenge has gotten outta hand ... 😂😂 the craziest photos here >> http://omgv.io/2e21ZnU | the winners of the challenge here >> http://omgv.io/2dHHqdw Who do we blame?,"https://fb-s-a-a.akamaihd.net/h-ak-xpt1/v/t1.0-0/p235x165/14666212_1239084352810380_8062717728814478447_n.jpg?oh=750841160f696c15e32598f83f9c024f&oe=58B9FF4E&__gda__=1488674885_a2d8ee2e250c2d4dc218723e237954cf

https://fb-s-a-a.akamaihd.net/h-ak-xfa1/v/t1.0-0/p235x165/14563289_1239082882810527_4024852418763590567_n.jpg?oh=fb4f33e82ce010b462df08120b56e8b8&oe=58CA0176&__gda__=1492535290_d1d598a2e076430375abccc819569866

https://fb-s-c-a.akamaihd.net/h-ak-xla1/v/t1.0-0/s417x417/14523113_1239083102810505_5744563804857636189_n.jpg?oh=2ed7a477e361cd42ffe53523721d1aef&oe=58FBEA96&__gda__=1488079155_b50bfb040aa03387593f55a2407e55dc

https://fb-s-a-a.akamaihd.net/h-ak-xla1/v/t1.0-0/s417x417/14650326_1239083746143774_5571162726236337075_n.jpg?oh=bf75ed79ab27fa7e96bab76873ebf79a&oe=58C7CD03&__gda__=1488711334_4181ae7ce01bae5bd6d15dfe6c8a76dd

https://www.facebook.com/images/emoji.php/v6/fd0/1/16/1f602.png

https://www.facebook.com/images/emoji.php/v6/fd0/1/16/1f602.png",http://l.facebook.com/l.php?u=http%3A%2F%2Fomgv.io%2F2e21ZnU&h=9AQGMQi9FAQEDSF0_YsQNVUI8NH1cSEKLL0TEJq-WjfsRAQ&enc=AZOl-Yl-T_dLOBWvYYXKRwiT1te_u7Zm2Yk4PjGKE0K96DBNRHw-y328KUDYDTt7Mw543xTHHq6e_1OdI-BPiKfprLiHKOr-IYvIeWUz7ZTlkQ_0WW7jkLSDX4NdnXPD6qSR-rwLvO_FZ-s19UlhGMH0y_joiPuMZMPyW2mdvpo3-cgJHzqc2dAq63hR3GiGz27grQAQafT6itzs4e1BJN9R&s=1,,Shadrack Agyapong Walcott shared OMGVoice's post.October 10 · ei Ghana nso de3+3OMGVoice added 6 new photos.Like PageOctober 10 · This #KalypoChallenge has gotten outta hand ... 😂😂 the craziest photos here >> http://omgv.io/2e21ZnU | the winners of the challenge here >> http://omgv.io/2dHHqdw Who do we blame?,1 Comment1010 10LikeLikeLoveHahaWowSadAngryShare,1073485749425606,
https://www.facebook.com/tasteghana/photos/a.567838553265053.1073741825.567832943265614/1114958401886396/?type=3,"When Kalyppo suffers an MI, Drs to the rescue . #kalyppochallenge #accra #ghana #kalypochallenge","Tuesday, October 11, 2016 at 7:34pm",,,,https://fb-s-d-a.akamaihd.net/h-ak-xap1/v/t1.0-0/p480x480/14671085_1114958401886396_3340761796658768718_n.jpg?oh=dcbf2cc1da0dd31fb632c9f7993e8bae&oe=58C09015&__gda__=1489233450_f4ef6c8df302d58cbc00e8de1394fe7e,,,"Like PageTasteGhanaOctober 11 · When Kalyppo suffers an MI, Drs to the rescue . #kalyppochallenge #accra #ghana #kalypochallenge",1 Share415 5LikeLikeLoveHahaWowSadAngryCommentShare,1114958401886396,
https://www.facebook.com/ameyawofficial/photos/a.10150434052698689.411191.128955543688/10154674088518689/?type=3,I was about to call it a wrap and then i saw this in my gallery 😄 #kalypochallenge,"Friday, October 7, 2016 at 7:57pm",,,,https://fb-s-c-a.akamaihd.net/h-ak-xtp1/v/t1.0-0/s526x395/14517415_10154674088518689_5558100658868628018_n.jpg?oh=228e203e81f5c195d70ca3265a7d7271&oe=58BF02E2&__gda__=1489317001_c9e9ebc39be785b2fa4f10f3cf614169,,,Like PageAmeyaw DebrahOctober 7 · I was about to call it a wrap and then i saw this in my gallery 😄 #kalypochallenge,65 Comments194 Shares953196121.1K Charles Dangerforld Tandoh and 1.1K othersLikeLikeLoveHahaWowSadAngryCommentShare,10154674088518689,
https://www.facebook.comhttps://www.facebook.com/photo.php?fbid=1468089166540537&set=a.155954137754053.34690.100000184021068&type=3,The things I want to do to this Kalypo err,"Friday, October 7, 2016 at 11:53am",,,,https://fb-s-a-a.akamaihd.net/h-ak-xlf1/v/t1.0-0/s526x395/14520425_1468089166540537_4614188850885148433_n.jpg?oh=80c50439d0fd11c04af45a40694b6c2d&oe=58B4659C&__gda__=1489558359_7017b9ae885955de9f15782412e876fe,,,Chris Asante at Royal Parade Grounds:KNUST.October 7 · Kumasi · The things I want to do to this Kalypo err #kalypochallenge,6 Comments3 Shares14153149 Annabella Bensusan and 148 othersLikeLikeLoveHahaWowSadAngryCommentShare,1468090373207083,
https://www.facebook.comhttps://www.facebook.com/photo.php?fbid=877931389005113&set=a.556302977834624.1073741826.100003647807855&type=3,I'm nominating him as the winner of the #KalypoChallenge .. What do you think ?,"Friday, October 7, 2016 at 1:09pm",,,,https://fb-s-b-a.akamaihd.net/h-ak-xap1/v/t1.0-0/p296x100/14581300_877931389005113_3030924683755971003_n.jpg?oh=f7cafee6c5c09fbd33bdaacdb17ef2ea&oe=58C8D1D7&__gda__=1487854003_745480dc006541a7b85b55f9c7736c0f,,,Charles Nii Teiko Tagoe with Afia Sarfowaa and 13 others.October 7 · I'm nominating him as the winner of the #KalypoChallenge .. What do you think ?,24 Comments46 Shares334219365 365LikeLikeLoveHahaWowSadAngryShare,877931405671778,
https://www.facebook.com/ameyawofficial/photos/a.10150434052698689.411191.128955543688/10154674284593689/?type=3,😭😭😭 it can pain oh #kalypochallenge,"Friday, October 7, 2016 at 9:10pm",,,,https://fb-s-a-a.akamaihd.net/h-ak-xat1/v/t1.0-0/p480x480/14591774_10154674284593689_7061251655665653248_n.jpg?oh=68405fba691ca857666d8b6d9f33bc57&oe=58CB8F47&__gda__=1488185499_baaf384ec869557efe3019d335d65dd1,,,Like PageAmeyaw DebrahOctober 7 · 😭😭😭 it can pain oh #kalypochallenge,72 Comments129 Shares7312547998 Monique Gyenfi and 997 othersLikeLikeLoveHahaWowSadAngryCommentShare,10154674284593689,
https://www.facebook.com/permalink.php?story_fbid=1617848085182770&id=1617783978522514&match=I2thbHlwb2NoYWxsZW5nZSxrYWx5cG9jaGFsbGVuZ2U%3D,#KalypoChallenge in #Ghana #Kalypo,"Wednesday, October 12, 2016 at 5:32pm",,,+2,"https://fb-s-b-a.akamaihd.net/h-ak-xlp1/v/t1.0-0/p320x320/14716283_1617847968516115_5787913170104830559_n.jpg?oh=b7bdb06ad796d147caa0cc3cb3cb55b6&oe=58AFEEC9&__gda__=1488960822_ca4e759dcaa4b8bf691b6c6082d597f2

https://fb-s-b-a.akamaihd.net/h-ak-xpl1/v/t1.0-0/q87/p160x160/14713747_1617847965182782_8596059903875188991_n.jpg?oh=7374d5356f2a02e51d862143da14338f&oe=58CC4147&__gda__=1492561503_ee083f5f5f25f4386a98621a913282c0

https://fb-s-b-a.akamaihd.net/h-ak-xlp1/v/t1.0-0/p160x160/14517459_1617847975182781_8389275530232356255_n.jpg?oh=8a97deb2f15e4f2cfd5ee37791739bd7&oe=58C0431F&__gda__=1492647136_1676bf4f572f3a11ca648fe583ecf06d

https://fb-s-c-a.akamaihd.net/h-ak-xta1/v/t1.0-0/p160x160/14563477_1617847998516112_2336539861369392367_n.jpg?oh=c0017610e4c50a86b8dc371f04a190b9&oe=58F8FE76&__gda__=1489657102_a02195b3a57badb7bc3259aadcbfd4ba",,,Like PageKalypoChallenge added 5 new photos.October 12 · #KalypoChallenge in #Ghana #Kalypo+2,11 1LikeShow more reactionsCommentShare,1617848085182770,
https://www.facebook.com/alhassan.fuseini.92/posts/1219495094756411?match=I2thbHlwb2NoYWxsZW5nZSxrYWx5cG9jaGFsbGVuZ2U%3D,#KALYPOCHALLENGE I like sipping calypo just to promote made in Ghana products to help boost up our sinking economy. Buy more calypo......,"Thursday, October 6, 2016 at 2:40pm",,,,"https://fb-s-d-a.akamaihd.net/h-ak-xap1/v/t1.0-0/p261x260/14581509_1219494031423184_7471730546867676956_n.jpg?oh=62e21e1d1fa622a595782250620411ac&oe=58C79747&__gda__=1488667768_936171f887aa585d79b899de41c3d71d

https://fb-s-a-a.akamaihd.net/h-ak-xtp1/v/t1.0-0/p240x240/14516462_1219494061423181_5575369154461499621_n.jpg?oh=e49cfab853f540e062e4f28020e15449&oe=58B42C84&__gda__=1492951718_2a6f800814ee41c06360266fdb9860ed

https://fb-s-a-a.akamaihd.net/h-ak-xtp1/v/t1.0-0/p235x165/14519750_1219495014756419_7267234451119089809_n.jpg?oh=fe29ae9a1ba6dadc0905a6352874a2fa&oe=58FC2C86&__gda__=1488776612_cb33b11ab61d926ed3ed4d8978fbf657",,,Hassan Fuzziun Husain added 3 new photos.October 6 · #KALYPOCHALLENGE I like sipping calypo just to promote made in Ghana products to help boost up our sinking economy. Buy more calypo......,9 Comments1 Share63164 64LikeLikeLoveHahaWowSadAngryShare,1219495094756411,
