Title,DateTime,Post Number,
"What is this kalypo challenge about, think kalypo is making a lot of money oooo",10/6/16 11:05 AM,550,
I can't wait to also have my #KalypoChallenge #AriseForChange #IamForNana #YesYesYesYesYes,10/6/16 11:17 AM,638,
U need to get urs,10/6/16 11:28 AM,621,
Need to get my apple kalypo..,10/6/16 11:41 AM,701,
"Kalypo for change movement activated, get yours now with logoligi straw. Pienaah Batienemene Alice # buymadeinghana #kalypochallenge",10/6/16 11:43 AM,109,
#Kalypochallenge,10/6/16 11:43 AM,594,
These days enjoying #Kalypo makes one #NPP... #KalypoChallenge,10/6/16 11:56 AM,641,
I accepted this #KalypoChallenge from Mcdavid Walker. #DrinkKalypoLikeNanaAddo #DrinkMadeInGhanaForChange... #SakiaNazua #AriseForChange See More,10/6/16 12:05 PM,178,
"The kalypo challenge is infectious! Even whites are patronising it.....Nana Addo, Kalyppo thanks you!!!",10/6/16 12:41 PM,948,
General accept the kalypo challenge. Arise for change,10/6/16 12:48 PM,1005,
Kalypo challenge accepted#,10/6/16 12:52 PM,539,
Agenda promoting Ghana made products.,10/6/16 1:28 PM,56,
#KalypoChallenge Agye bebiaaaa #Nanab3ba,10/6/16 1:28 PM,904,
Agenda promoting Ghana made products.,10/6/16 1:30 PM,203,
Agenda promoting Ghana made products.,10/6/16 1:32 PM,118,
Cos of dis #KalypoChallenge boys wey apio be demma water all dey drink kalypo....Ma brother dis one wey u dey drink kalypo make ur face like u go vomit too na by force????,10/6/16 1:32 PM,190,
Free hype for Kalyppo.This explains why i have been seeing some dudes sipping kalyppo on my wall. Charley !!,10/6/16 1:33 PM,325,
"My Flagbearer prefers Kalypo, another Flagbearer prefers cognac and henessey disguised in feeding bottle and drinks to stupor before mounting any political platform. #kalypochallenge",10/6/16 1:40 PM,141,
Agenda promoting Ghana made products.,10/6/16 1:40 PM,189,
Agenda promoting Ghana made products.,10/6/16 1:42 PM,119,
Agenda promoting Ghana made products.,10/6/16 1:43 PM,48,
Agenda promoting Ghana made products.,10/6/16 1:46 PM,131,
Very soon we will see our President take up the Kalypo challenge.,10/6/16 1:56 PM,545,
Kalypo Challenge Cup. Susket..  3y3 D3 Paaa. I nominate Prisca Naana Dede for the challenge. #KALYPO 1,10/6/16 1:58 PM,944,
The #kalypochallenge goes unabated.Patronise made in Ghana goods.Bridget Bridget Briginn Sledge BonnahDaniel NetteyOphori SuarezNana Adu-Poku Frefre Hansel Boakye Nana Prah Briggs-Hagan please come and show your pictures wae,10/6/16 2:00 PM,413,
Thanks to Nana Addo der is shortage of kalypo. Pls I'm going for mine by the way,10/6/16 2:01 PM,379,
We hv accepted de challenge. kalypo for change,10/6/16 2:01 PM,813,
Make nobody nominate me for any Kalypo challenge ibeg. Ebi Employment nomination idey search please,10/6/16 2:06 PM,806,
da NDC shd b sh*tting their pants nw,10/6/16 2:09 PM,437,
"The nurses, midwives and patients are all saying Kalypo kalypo kalypo  One man one kalypo We drink kalypo, What do you drink? ... Let's advertise our local food products  #Kalypochallenge  Cindy Ofori-Appiah Dede Adamtey-Tetteh Awal Issahaku Kanawu Lydia Oduro A. Ankrah Kofi Ghana Nana Kwadwo Akwaa Archibold Cobbina Akossua Domite See More",10/6/16 2:16 PM,462,
Is now Kalypo challenge...😀😀😀  So NPP flagbearer Nana Addo was sported drinking Kalypo enti no most pipo are throwing a challenge. Comment ya kalypo pic challenge #DropYaPic... #KalypoChallenge #Im4Nana See More,10/6/16 2:21 PM,2,
Kalypo oooo kalypo....3y3 d3 papaa....##changeindetaste##,10/6/16 2:21 PM,451,
#KALYPOCHALLENGE I like sipping calypo just to promote made in Ghana products to help boost up our sinking economy. Buy more calypo......,10/6/16 2:40 PM,25,
#KALYPOCHALLENGE I like sipping calypo just to promote made in Ghana products to help boost up our sinking economy. Buy more calypo......,10/6/16 2:40 PM,1081,
#kalypochallenge #nanab3ba... #dontworryjusttakekalypo #nananiekalyponie #kalyppochallenge,10/6/16 2:49 PM,858,
Kalipo.. logoligi straw.. wo b3 hu ade3,10/6/16 2:52 PM,1041,
3nti one child one kalyppo anaa? #Kalypochallenge #ceosoundz,10/6/16 2:58 PM,75,
http://www.ghanacelebrities.com/…/want-join-kalypochalleng…/,10/6/16 3:04 PM,1010,
"Thanks to President Mahama's efforts, industries have grown. Including #KalypoChallenge #JMToaso #VoteJM2016",10/6/16 3:06 PM,253,
The power of user-generated content on social media. Let the Kalyppo Juice campaign begin. ‪#‎kalypochallenge‬,10/6/16 3:13 PM,44,
The power of user-generated content on social media. Let the Kalyppo Juice campaign begin. ‪#‎kalypochallenge‬,10/6/16 3:13 PM,1089,
"I wanted t join the #DrinkLikeNana #KalypoChallenge but I didn't check the product till I got home and found out I had bought Ceres instead of Kalypo cos I was in a hurry, so I wouldn't be able to share a pic or join the fever...and that's really sad and depressing",10/6/16 3:20 PM,324,
Agenda promoting Ghana made products.,10/6/16 3:44 PM,89,
"EVERYBODY IS DOING IT #kalypochallenge, first time tasting this,, wooooaw i love a good challenge",10/6/16 3:46 PM,120,
Have you had your Kalypo today? #kalypochallenge  #fuitjuice  #kalypo4change  #kalyloselfie... Dont forget to share and tag us! Enjoy !!!!! See More,10/6/16 3:49 PM,122,
Acting Chairman Freddie Blay and Acting Gen Sec John Boadu accepted the Kalypo challenge,10/6/16 3:54 PM,995,
"Voting prez. john Dramani Mahama again in power is threat to the nation progress....  -GDP reduces from 8% to 4% -interest rate increases tremendously to 34% -Ex. Prez. Koffour mada debt total of 9. 5billion in eight year... With prez mahama, 110 billion and still counting..  -koffours administration made revenue of 20 billion... Mahama making 240billion bt still seeking 4 loans again.. ... #changeiscoming# #Nana b3 ba# #kalyselfie# #kalypochallenge# #Nana na y3 p3# See More",10/6/16 3:56 PM,404,
What is this kalypo challenge? what am i missing?,10/6/16 3:56 PM,525,
Hajia accepted the Kalypo challenge,10/6/16 3:57 PM,938,
"OUR Hajia , you do all. Let's join hands and promote made in Ghana goods .#KalypoChallenge #PromotingMadeInGh",10/6/16 4:04 PM,1088,
"I must honestly confess that in my almost 30years on earth, so far I have never seen a guy ,  and wait I haven't been everywhere or seen everyone's feet yet, this has nothing to do with color. Maybe I missed cause I focus so much on people's teeth ..you are not just a great Graphic designer but Perk Pomeyie your feet fine too much, too clean...which street in Gh do you stroll around😂😂😂😂 on? no Photoshop  very good for shoe  shoot or shows you should sign up as a footwear model.......if all women feet were like this I am sure our boyfriends will lick them everyday...👀👀👀👀???? this is not a #kalypochallenge ,this is creamy! ",10/6/16 4:05 PM,283,
"Support your own, promote made in Ghana 🇬🇭 goods.....  Someone send me some(kalypo) wai 👍👍",10/6/16 4:07 PM,328,
Even the Apeteshie addicts I know are now drinking #Kalypo indeed change is coming.....Glory be to God !!! I won't be surprised if Angel Obinim decides to use #Kalyppo for 'milacles' this weekend. #KalyppOHere #KalyppOThere #KalyppOEveryWhere... #KalypPOChallenge #NationalKalypPODay See More,10/6/16 4:12 PM,198,
Cc Gideon Boamah Koby Mens,10/6/16 4:21 PM,363,
Change Will Come. #KalypoChallenge #MadTing Addai Sammy Paul Boateng Asamoah Darko Baffour,10/6/16 4:22 PM,521,
"Challenge Accepted..Kalypo dey make I dey misbehave ruff ruff...😋😋😋😋Kalypo,3d3 ruff",10/6/16 4:24 PM,835,
Aho)fe patre. ...kalypo movement#nanab3ba,10/6/16 4:33 PM,360,
Mrs Samira Bawumiah also accepted the Kalypo Challenge .......,10/6/16 4:35 PM,516,
Don't just sip the Kalypo!! Add some bread to it!😂😂😂 #KalypoChallenge,10/6/16 4:38 PM,228,
Kalipose,10/6/16 4:49 PM,902,
So this is a thing now..... lol,10/6/16 5:05 PM,212,
#kalypochallenge 😋,10/6/16 5:06 PM,658,
"On my way home, sitting at the back of some troski kalyposting #kalyppost #kalyppoChallenge",10/6/16 5:08 PM,101,
"#ElectionHQ Drink Made-in-Ghana Kalypo, spread the feeling, boost local business, create local jobs, grow local economy! #KalypoChallenge https://t.co/Ye28nFu9RV",10/6/16 5:09 PM,402,
Have you had your kalypo  today? #kalypochallenge #fuitjuice #kalypo4change #nana4prez,10/6/16 5:11 PM,221,
Retweeted Aaron Pelu (@dadaronpel):,10/6/16 5:13 PM,440,
Incoming second lady joins the CALPO movement !#changeiscoming,10/6/16 5:16 PM,374,
THIS IS NO NEWS,10/6/16 5:16 PM,859,
#KALYPOCHALLENGE ME TO I DO SUM,10/6/16 5:22 PM,365,
Ghanaians play too much... lol #KalypoChallenge,10/6/16 5:26 PM,72,
I can imagine the sales figures coming to the producers of #Kalypo Don't ask me of my #kalyfie #kalypochallenge... #ghanaPolitrics #Iam4Peace See More,10/6/16 5:37 PM,368,
#kalypochallenge #changeiscoming,10/6/16 5:39 PM,681,
Kalyppo manifesto! Hahaha,10/6/16 5:41 PM,434,
One kalypo one vote for change #iam4nana #iam4change,10/6/16 5:57 PM,498,
Kalyppo,10/6/16 6:05 PM,694,
"No matter how hard I tried, I couldn't match the originator. But I love him so much that I want to follow his examples just as we Methodist people follow the examples of Christ. Take it like that. Next time. #kalypochallenge #kalyfie #NanaAddobelievesinGhana. #IamforNana",10/6/16 6:15 PM,149,
But the #KalypoChallenge pain people paaa ooo.... Propaganda gone wrong 💯😜😜😜😜😜😂😂😂😂,10/6/16 6:22 PM,153,
Ndc too fo look sharp den launch Adonko challenge..😂😂  Kanta! and i heard someone too saying Da #KalypoChallenge is now popular even mur dan the Vice president of Ghana..😂😂😂 Niqqas bi mean oo... #ChangeIsComing #Nanab3ba #NellyB3ba😂 See More,10/6/16 6:33 PM,330,
Don't just sip the Kalypo!! Add some bread to it! #Kalypochallenge,10/6/16 6:34 PM,302,
"Logoligi straw!!!!!.... kalypo challenge,am for #nana#",10/6/16 6:34 PM,769,
Lol,10/6/16 6:35 PM,1051,
Alhaji Dr. Mahamudu Bawumia was not left out of the Kalypo challenge.,10/6/16 6:38 PM,794,
Kalypo challenge on  #CHANGEISAMUST#,10/6/16 6:44 PM,540,
"Well, my little observation: from the #Kalypochallenge  flying everywhere on the social media,I can deduce that Ghanaians are so much in love with Nana Addo and may show love come December 7th .I reckon that.",10/6/16 6:51 PM,311,
The kalypo challenge is on. Little Ama joined the challenge..  #drinkitlikenana,10/6/16 6:53 PM,481,
"One man, one kalypo.  #KalypoChallenge. Thank you.... #PLLM. See More",10/6/16 6:59 PM,804,
"Still searching for a kalypo to buy.....pls if u hav an empty one i dont mind, jux wana take a pic with it......#suckitlikenana #kalypochallenge",10/6/16 7:13 PM,331,
Have you had your Kalypo today? #kalypochallenge  #fuitjuice  #kalypo4change  #proudlymadeingh... #nana4prez #kalyposelfie Dont forget to share and tag us! Enjoy !!!!! See More,10/6/16 7:39 PM,161,
So I decided to get myself kalypo tonight and realised s3 shortage w) krom. #kalypochallenge #Iam4Nana #Changeiscoming,10/6/16 7:55 PM,65,
#KalyPoChallenge #DrinkKalypoForChange,10/6/16 7:55 PM,903,
So I decided to get myself kalypo tonight and realised s3 shortage w) krom. #kalypochallenge #Iam4Nana #Changeiscoming,10/6/16 7:55 PM,2203,
#PulseElections #KalypoChallenge : Social media goes frenzy over Nana Addo's Kalypo's photo.,10/6/16 8:00 PM,10,
The #kalypochallenge hit social media like wild fire when a propaganda post of the Presidential Candidate of the New Patriotic Party drinking kalypo hit social media. Members of the opposition New Patriotic Party turned the propaganda to their advantage and that got most party faithful taking pictures of themselves drinking kalypo. Party Executives have been seen on Social media drinking Kalypo in solidarity with their flag bearer. [  61 more words ],10/6/16 8:04 PM,239,
THE TIME FOR CHANGE IS NOW AND IS KALYCHANGE,10/6/16 8:05 PM,644,
BUY MADE IN GHANA EAT AND DRINK MADE IN GHANA IS KALYCHANGE,10/6/16 8:06 PM,642,
IS KALYCHANGE,10/6/16 8:06 PM,855,
Alright we like the Kalypo challenge. What about a corn challenge too 😂😂😂,10/6/16 8:06 PM,928,
How can I miss the kalypo challenge after a hectic day?# CheersNana#,10/6/16 8:16 PM,499,
Ay3 ka..... Afei de3 ay3 serious.... Kalypo Challenge is trending paa,10/6/16 8:35 PM,987,
Dr Alhaji Mahamudu Bawumia joined the Kalypo challenge. #Kalpochallenge,10/6/16 8:39 PM,489,
Bra Aananse is sipping kalyppo #kalypochallenge,10/6/16 9:01 PM,660,
Me too I suck the kalypo some. #kalypochallenge,10/6/16 9:02 PM,50,
Kalyppo clinic lol,10/6/16 9:19 PM,620,
I'm patiently waiting for Agyapong Rambo's #kalypochallenge video... If Nana Addo can get Rambo to drink Kalypo then Nana will truly bring change cos i can't think far seeing this Rambo man drinking anything  else apart from #Apio.... remember i said video cos dat guy can just pose wid an empty kalypo pack.....Over to you Joe Lartey aka Karim DaGrin Benzeema😂😂😂😂😂😂,10/6/16 9:31 PM,312,
De kalypo challenge by de zee town bois. Drinking towards victory,10/6/16 9:41 PM,558,
This kalypo challenge is not gone stop now,10/6/16 9:59 PM,492,
"Sincerely l think this election year has been the most interesting so far....😄😃😜😝 From manifesto stealing brouhaha, one fisherman one sea and the other one to one relations.  The sharing of money and artiste and chiefs endorsement. ... Then filling fee wahala And now the latest n still trending  #kalypochallenge  #kalypost #kalyfie  #idrinkalypo What a good time to be Ghanaian. We await December 7th #BallotsOverBullets #thumbsOverGuns #lam4Peace See More",10/6/16 10:02 PM,596,
"Interesting development in GH. Kalypo is receiving free publicity everywhere.  Well, as they say, if you can't beat them then join them.  #kalypochallenge  bra Mahama gye kalypo yi.  Bra Mahama mesi gye kalypo yi nawo behu Bribi. #agoronkoaa",10/6/16 10:10 PM,104,
This guy really took this challenge to a whole new level... got me really cracking up. 😂😂😂😂  #GhanaNs3m,10/6/16 10:43 PM,329,
I laugh enter the l>g>ligi straw😂😂😂,10/6/16 10:54 PM,369,
Even nurses dey sip #Nanakalyppo,10/6/16 10:58 PM,952,
Woaaaah take a look aaahba  Anyway you have won the #KalypoChallenge,10/6/16 11:22 PM,252,
Ei Ghana 😂,10/6/16 11:34 PM,672,
Asu😂😂😂😂😂,10/6/16 11:58 PM,791,
Greedy man. loll #kalypochallenge #nanab3ba,10/7/16 12:18 AM,289,
And Madam Ursula Owusu Ekuffu says she is sipping to victoriously victorious victory.#KalypoChallenge.!!!!!,10/7/16 12:51 AM,93,
#kalypochallenge  interestingly gaining momentum,10/7/16 5:38 AM,242,
Man u b guy ruff  Udo all #NaNaPo,10/7/16 5:43 AM,748,
Kalypo challenge. #I'm for Nana. #I'm for change. #I'm for peace.,10/7/16 5:48 AM,993,
drink for change,10/7/16 6:34 AM,915,
I can't express de feeling of de trend de KALYCHALLENGE is going. Promoting made in Ghana goods.ONEDISTRICTONEFACTORY still on course,10/7/16 7:15 AM,296,
"The #KalypoChallenge, masterstroke Trailer Jam moment #6wordsstoryfriday",10/7/16 7:16 AM,195,
People play too much,10/7/16 7:24 AM,633,
Happy Birthday to PROPHET DR. BAWUMIA . #KalypoChallenge #SirGhanaFirst,10/7/16 7:29 AM,574,
#kalypochallenge,10/7/16 7:31 AM,651,
Hahahahahahahaaaha...Oops,10/7/16 7:45 AM,708,
😂😂.. Ma rib,10/7/16 8:15 AM,846,
"#politics  #kalypochallenge Sipping #kalyppo is now my favourite every morning  Am proud of Ghana made.  Am for change not war... Let's try #NanaAddo The street boys we keep on increasing cos no job and at the same time, no protocol or bribe no education.  Health insurance no more working, no more training colleges allowance,  #peaceful_election_2016 Happy Birthday to Dr. Bawumia the running mate for Nana. See More",10/7/16 8:16 AM,66,
The on going #KalypoChallenge is perhaps what the local boxed fruit company needed to boost their sales. Our checks reveal shortage of Kalypo in some shops in Accra.,10/7/16 8:16 AM,70,
When all boxed  fruit juice companies wish they were Kalypo. #KalypoChallenge,10/7/16 8:18 AM,358,
Had a sip as I step out for work #kalypochallenge,10/7/16 8:41 AM,46,
Had a sip as I step out for work #kalypochallenge,10/7/16 8:41 AM,1077,
DADO should just walk out and join the Kalypo challenge  Rap nye ni talent 😂😂😂😂,10/7/16 8:43 AM,816,
Kalypo challenge. ..Nhyira and Adobea  accepts #votewisely,10/7/16 8:43 AM,949,
"President Mahama endorses Ghana made horse-man shoes and others, to promote the local industry. It is good that Opana is now following.  #KalypoChallenge #JMToaso #VoteJM2016 #BA4JM",10/7/16 8:47 AM,40,
Selina Aganiba Ayelsuma,10/7/16 8:47 AM,882,
"President Mahama endorses Ghana made horse-man shoes and others, to promote the local industry. It is good that Opana is now following.  #KalypoChallenge #JMToaso #VoteJM2016 #BA4JM",10/7/16 8:47 AM,1084,
"Vice President Amissah Arthur also supports local industry. He bought two Kantanka vehicles, ultimately supporting our home-grown automobile industry.  It is great that Opana is now following.  #KalypoChallenge #JMToaso #VoteJM2016 #BA4JM",10/7/16 8:50 AM,57,
Join the Kalypo challenge for a better Ghana,10/7/16 8:50 AM,479,
President Mahama is known for wearing local designs either as Smock or fabric. Always supporting the local fashion industry.  It is great that Opana is now following. #KalypoChallenge #JMToaso #VoteJM2016 #BA4JM,10/7/16 8:54 AM,49,
President Mahama is known for wearing local designs either as Smock or fabric. Always supporting the local fashion industry.  It is great that Opana is now following. #KalypoChallenge #JMToaso #VoteJM2016 #BA4JM,10/7/16 8:54 AM,1100,
"These schools have been built by local contractors in the last three years, thanks to President John Dramani Mahama. He has supported the local industry since he tool office.  It is great that Opana is now following.  #KalypoChallenge #VoteJM2016 #BA4JM #JMToaso",10/7/16 9:01 AM,62,
PHOTOS: Social media goes crazy for Kalypo after Nana Addo was spotted sipping one #KalypoChallenge ,10/7/16 9:05 AM,629,
#kalypochallenge,10/7/16 9:06 AM,607,
#kalypochallenge,10/7/16 9:06 AM,662,
#kalypochallenge,10/7/16 9:06 AM,1020,
#kalypochallenge,10/7/16 9:07 AM,889,
#kalypochallenge,10/7/16 9:08 AM,604,
#kalypochallenge,10/7/16 9:08 AM,655,
#kalypochallenge,10/7/16 9:08 AM,663,
#kalypochallenge,10/7/16 9:08 AM,874,
#kalypochallenge,10/7/16 9:09 AM,605,
#kalypochallenge,10/7/16 9:09 AM,657,
#kalypochallenge,10/7/16 9:09 AM,659,
#kalypochallenge,10/7/16 9:09 AM,872,
#kalypochallenge,10/7/16 9:09 AM,881,
#kalypochallenge,10/7/16 9:10 AM,653,
#kalypochallenge,10/7/16 9:10 AM,664,
#kalypochallenge,10/7/16 9:10 AM,839,
